,PctApplied,PctInterestedIn,one,two,three,four,five,six,seven,eight,nine,ten,eleven,OurAvg,pca,degree
Group 46,0.023462893665838137,0.022436329335669046,0.021142433234421366,0.024544440312383786,0.024199553239017124,0.02122114668652271,0.025278810408921933,0.024280911468061262,0.02161759224748416,0.023889511011571482,0.0250280164363093,0.025009331840238895,0.021965748324646314,0.0232887631578074,0.02237136465324385,0.02202314296379246
Group 48,0.5322990358089099,0.5415038404527691,0.5315281899109793,0.5912978802528821,0.48361876396128073,0.4936708860759494,0.45204460966542753,0.4830033619723571,0.5218039508013418,0.5184770436730123,0.48599178184534925,0.5823068309070548,0.5923306031273269,0.5297609479739922,0.5741983594332588,0.5849197461739455
Group 0,0.0010925678074895522,0.0026276782104837624,0.004451038575667656,0.004834510970621049,0.0052122114668652275,0.005956813104988831,0.004089219330855019,0.005229734777736272,0.004472605292582929,0.004106009705113848,0.005229734777736272,0.0048525569242254575,0.004839910647803425,0.004790847086317486,0.0037285607755406414,0.005225830533781261
Group 6,0.16896561142825928,0.17147284732515833,0.17655786350148367,0.1428040163629602,0.19769173492181683,0.1906180193596426,0.20520446096654274,0.19947702652222637,0.1800223630264629,0.1765584173198955,0.1979828165857303,0.14669652855543114,0.14296351451973194,0.17247337255145959,0.13273676360924683,0.14744307577454274
Group 1,0.018682909508071343,0.013610025603018461,0.020771513353115726,0.009669021941242098,0.017498138495904692,0.01526433358153388,0.01970260223048327,0.017183414269704895,0.01975400670890794,0.022396416573348264,0.016809861785580874,0.009705113848450915,0.00967982129560685,0.01576890358095846,0.017897091722595078,0.008212019410227697
Group 5,0.005408210647073284,0.004851098234739253,0.009643916913946587,0.007065823726292302,0.0029784065524944155,0.0029784065524944155,0.003345724907063197,0.0029884198729921555,0.01006336190831159,0.009705113848450915,0.0029884198729921555,0.0070921985815602835,0.008190618019359643,0.0061034592725197285,0.004101416853094705,0.008212019410227697
Group 9,0.11491081915271366,0.1082064411804339,0.10200296735905044,0.09631833395314243,0.12620997766195086,0.12918838421444528,0.13234200743494423,0.12551363466567053,0.10659709280655982,0.10638297872340426,0.12364587224505043,0.09854423292273236,0.0964259121370067,0.11216570947346143,0.11260253542132737,0.1015304217991788
Group 19,0.09636448062057852,0.09702196469478507,0.09532640949554896,0.08776496838973596,0.10647803425167536,0.10349962769918093,0.11895910780669144,0.1057153530070975,0.0954155795751025,0.09742441209406495,0.10534180052297348,0.08697275102650243,0.08823529411764706,0.09805350693024882,0.09731543624161074,0.0851063829787234
Group 21,0.026685968697932317,0.027624309392265192,0.027818991097922848,0.024544440312383786,0.027922561429635145,0.029039463886820552,0.02862453531598513,0.028389988793425476,0.0286992172940738,0.029115341545352745,0.028763541277549497,0.026875699888017916,0.02494415487714073,0.027316666146595604,0.023862788963460103,0.026129152668906308
Group 33,0.002239764005353582,0.00181916183802722,0.001483679525222552,0.0011156563778356265,0.0014892032762472078,0.0026061057334326137,0.002973977695167286,0.0014942099364960778,0.0022363026462914647,0.0022396416573348264,0.0014942099364960778,0.001866368047779022,0.0011169024571854058,0.0018072832318686213,0.0022371364653243847,0.0011198208286674132
Group 37,0.004971183524077463,0.004042581862282711,0.004451038575667656,0.0026031982149497955,0.004095309009679821,0.0033507073715562173,0.0026022304832713753,0.004109077325364214,0.004099888184867686,0.005599104143337066,0.004109077325364214,0.0029861888764464353,0.0033507073715562173,0.0037555661105119036,0.003355704697986577,0.004106009705113848
Group 36,0.004752669962579553,0.0045815927772537395,0.004451038575667656,0.007065823726292302,0.0026061057334326137,0.0026061057334326137,0.0048327137546468404,0.002614867388868136,0.004845322400298174,0.003732736095558044,0.002614867388868136,0.0070921985815602835,0.005584512285927029,0.0045166589707445175,0.005219985085756898,0.005599104143337066
Group 10,0.00016388517112343284,0.00020212909311413557,0.000370919881305638,0.0003718854592785422,0.0,0.0,0.0,0.0,0.0003727171077152441,0.0003732736095558044,0.0,0.0,0.00037230081906180194,0.00019831551351436966,0.0003728560775540641,0.0003732736095558044
